name,month,blocked_min,eligible_min,span_min,episodes,blocked_pct,eligible_days,usable_for_trend
Commerce Street,2026-05,6670.2199998,44640.0,44640.0,774,14.942249103494623,31.0,True
Commerce Street,2026-06,5391.129999883333,43200.0,43200.0,736,12.47946759232253,30.0,True
Commerce Street,2026-07,5325.689999783333,44640.0,44640.0,735,11.930309139299583,31.0,True
Commerce Street,2026-08,4775.679999816667,44640.0,44640.0,636,10.698207884893966,31.0,True
Commerce Street,2026-09,2944.1199998833335,28482.5,28482.5,428,10.336592644196731,19.77951388888889,True
Hirsch Road,2023-03,10.020000000000001,10.019999999999982,581.0,1,100.0000000000002,0.006958333333333321,False
Hirsch Road,2023-04,6795.92999995,35776.0,43200.0,169,18.995779293241277,24.844444444444445,True
Hirsch Road,2023-05,6309.359999933334,44640.0,44640.0,217,14.133870967592593,31.0,True
Hirsch Road,2023-06,6276.149999916666,43200.0,43200.0,255,14.528124999807098,30.0,True
Hirsch Road,2023-07,4804.439999983333,38067.0,44640.0,222,12.621010323858808,26.435416666666665,True
Hirsch Road,2023-08,3448.45999995,43114.77,44640.0,200,7.998326327497515,29.940812499999996,True
Hirsch Road,2023-09,2496.0399999333335,32386.8,43200.0,209,7.706967035747075,22.490833333333335,True
Hirsch Road,2023-10,8585.499999933334,43072.25,44640.0,342,19.932787351330226,29.911284722222224,True
Hirsch Road,2023-11,5316.249999733333,38130.43,43200.0,1444,13.94227654850295,26.479465277777777,True
Hirsch Road,2023-12,0.0,0.0,44640.0,0,,0.0,False
Hirsch Road,2024-01,0.0,0.0,44640.0,0,,0.0,False
Hirsch Road,2024-02,0.0,0.0,41760.0,0,,0.0,False
Hirsch Road,2024-03,1152.7999999833332,7148.0,44640.0,36,16.127588136308525,4.963888888888889,False
Hirsch Road,2024-04,6752.53999995,43200.0,43200.0,242,15.630879629513888,30.0,True
Hirsch Road,2024-05,12352.909999916666,44640.0,44640.0,242,27.672289426336622,31.0,True
Hirsch Road,2024-06,10693.989999933334,37587.68,43200.0,218,28.450784937866167,26.102555555555554,True
Hirsch Road,2024-07,7734.579999883333,22919.48,44640.0,158,33.74675167099486,15.916305555555555,True
Hirsch Road,2024-08,12863.269999883334,44640.0,44640.0,357,28.815568996154422,31.0,True
Hirsch Road,2024-09,7599.669999983334,43200.0,43200.0,232,17.591828703665126,30.0,True
Hirsch Road,2024-10,3587.4999999,44640.0,44640.0,213,8.03651433669355,31.0,True
Hirsch Road,2024-11,4699.469999933333,43200.0,43200.0,239,10.878402777623457,30.0,True
Hirsch Road,2024-12,4075.8499999166665,44640.0,44640.0,228,9.1304883510678,31.0,True
Hirsch Road,2025-01,4694.029999983333,44640.0,44640.0,239,10.515300179174133,31.0,True
Hirsch Road,2025-02,6211.659999899998,40211.67,40320.0,1513,15.447406188054359,27.924770833333334,True
Hirsch Road,2025-03,4159.869999983333,43274.0,44640.0,172,9.612862226702717,30.051388888888887,True
Hirsch Road,2025-04,5155.369999933333,43200.0,43200.0,218,11.93372685169753,30.0,True
Hirsch Road,2025-05,3910.4599999,44640.0,44640.0,209,8.759991039202509,31.0,True
Hirsch Road,2025-06,5448.939999966667,41755.33,43200.0,211,13.049687309300792,28.996756944444446,True
Hirsch Road,2025-07,6211.439999883333,44640.0,44640.0,214,13.914516128770908,31.0,True
Hirsch Road,2025-08,5566.569999916666,44640.0,44640.0,222,12.469914874365292,31.0,True
Hirsch Road,2025-09,6459.1599999,43200.0,43200.0,239,14.951759259027778,30.0,True
Hirsch Road,2025-10,7033.939999933333,44640.0,44640.0,266,15.757034050029867,31.0,True
Hirsch Road,2025-11,5742.459999916667,43200.0,43200.0,235,13.29273148128858,30.0,True
Hirsch Road,2025-12,4501.629999833333,44640.0,44640.0,231,10.084296594608722,31.0,True
Hirsch Road,2026-01,5916.169999933333,44640.0,44640.0,248,13.253068996266428,31.0,True
Hirsch Road,2026-02,5181.80999995,40320.0,40320.0,254,12.851711309399802,28.0,True
Hirsch Road,2026-03,5705.259999966666,44640.0,44640.0,269,12.780600358348268,31.0,True
Hirsch Road,2026-04,4660.8499999000005,41616.52,43200.0,237,11.19951884467995,28.90036111111111,True
Hirsch Road,2026-05,6190.289999816667,44640.0,44640.0,338,13.867137096363502,31.0,True
Hirsch Road,2026-06,3738.27,43200.0,43200.0,217,8.653402777777778,30.0,True
Hirsch Road,2026-07,4635.26999995,44640.0,44640.0,208,10.383669354726702,31.0,True
Hirsch Road,2026-08,4354.459999983334,40922.87,44640.0,171,10.640651547614654,28.418659722222223,True
Hirsch Road,2026-09,2947.169999933333,28478.65,28478.65,105,10.348699815241709,19.77684027777778,True
Leeland Street,2023-02,2551.9399998833333,19630.0,19630.0,349,13.000203769145864,13.631944444444445,False
Leeland Street,2023-03,5899.789999716667,44640.0,44640.0,794,13.216375447393968,31.0,True
Leeland Street,2023-04,5446.459999783334,43200.0,43200.0,800,12.607546295794753,30.0,True
Leeland Street,2023-05,5410.769999666667,44640.0,44640.0,864,12.120900536887694,31.0,True
Leeland Street,2023-06,5653.01999975,43200.0,43200.0,890,13.085694443865743,30.0,True
Leeland Street,2023-07,5234.7999996,44640.0,44640.0,853,11.726702508064516,31.0,True
Leeland Street,2023-08,5179.539999616666,44640.0,44640.0,875,11.602912185521205,31.0,True
Leeland Street,2023-09,4977.1299997,43200.0,43200.0,773,11.521134258564814,30.0,True
Leeland Street,2023-10,8007.009999666667,44640.0,44640.0,829,17.936850357676224,31.0,True
Leeland Street,2023-11,248.73000000000002,4516.4400000000005,43200.0,77,5.507213646146079,3.136416666666667,False
Leeland Street,2023-12,4707.1199998,33761.0,44640.0,564,13.942478006575636,23.445138888888888,True
Leeland Street,2024-01,5465.109999766667,44640.0,44640.0,781,12.242629927792711,31.0,True
Leeland Street,2024-02,7100.93999985,41760.0,41760.0,679,17.004166666307473,29.0,True
Leeland Street,2024-03,1092.9699999666666,8779.22,44640.0,154,12.449511459636126,6.096680555555555,False
Leeland Street,2024-04,0.0,0.0,43200.0,0,,0.0,False
Leeland Street,2024-05,3156.8999999166667,22562.0,44640.0,384,13.992110628121031,15.668055555555556,True
Leeland Street,2024-06,7697.889999700001,43200.0,43200.0,770,17.819189814120374,30.0,True
Leeland Street,2024-07,8722.979999783334,44640.0,44640.0,769,19.54072580596625,31.0,True
Leeland Street,2024-08,7415.9599997000005,44640.0,44640.0,1411,16.612813619399642,31.0,True
Leeland Street,2024-09,7356.55999975,43200.0,43200.0,966,17.029074073495373,30.0,True
Leeland Street,2024-10,5801.659999716667,44640.0,44640.0,885,12.996550178576763,31.0,True
Leeland Street,2024-11,5595.82999965,43200.0,43200.0,708,12.953310184374999,30.0,True
Leeland Street,2024-12,5084.239999783334,44640.0,44640.0,726,11.389426522812128,31.0,True
Leeland Street,2025-01,4664.62999975,44640.0,44640.0,781,10.44943996359767,31.0,True
Leeland Street,2025-02,4889.919999783333,40320.0,40320.0,728,12.127777777240409,28.0,True
Leeland Street,2025-03,6254.959999716667,44640.0,44640.0,865,14.012007167824075,31.0,True
Leeland Street,2025-04,5855.1699998,43200.0,43200.0,758,13.553634258796299,30.0,True
Leeland Street,2025-05,5914.669999716667,44640.0,44640.0,830,13.249708780727302,31.0,True
Leeland Street,2025-06,7142.209999833333,43200.0,43200.0,749,16.532893518132713,30.0,True
Leeland Street,2025-07,5899.74999985,44640.0,44640.0,846,13.216285841957886,31.0,True
Leeland Street,2025-08,5515.829999816667,44640.0,44640.0,889,12.356249999589307,31.0,True
Leeland Street,2025-09,6387.959999783333,43200.0,43200.0,817,14.786944443942899,30.0,True
Leeland Street,2025-10,6497.239999766667,44640.0,44640.0,817,14.554749103419955,31.0,True
Leeland Street,2025-11,5616.749999733333,43200.0,43200.0,673,13.001736110493827,30.0,True
Leeland Street,2025-12,5707.419999833333,44640.0,44640.0,642,12.785439067727,31.0,True
Leeland Street,2026-01,5622.939999766667,44640.0,44640.0,698,12.5961917557497,31.0,True
Leeland Street,2026-02,4544.68999985,40320.0,40320.0,549,11.271552578993056,28.0,True
Leeland Street,2026-03,6732.8699997,44640.0,44640.0,813,15.082594085349463,31.0,True
